IpAdress;Time;SourcePageId;ClickedLinkId;RequestedPageId;ClickedAttributeId;EntityIdClicked;ClickedOid;SessionId;SourcePageName;ClickedLinkName;ClickedEntityName;RequestedPageName;targetUnit;ClickedTypeOid;ClickedOidValue;LogLevel;host;javaclass;miuId;DisplayedPageId;trace;message;TimestampIngestion;oid;PageName;UnitId;DisplayedUnitName;DisplayedEntityId;DisplayedAttributeId;TableDB;DisplayedEntityName;DisplayedAttributeName;AttributeDatabaseColumn;DisplayedOid;tableNamewithDBvalue;DisplayedTypeOid;DisplayedOidValue
127.0.0.1;2016-12-14 11:20:33.0;null;null;page14;null;null;0;57D0111E3A83B0F31825923F17D27A8C;null;null;null;Home Page;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
127.0.0.1;2016-12-14 11:20:33.0;null;null;page14;null;null;0;F09BB657E5CBE0A01B2CA66C9686CEB2;null;null;null;Home Page;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
127.0.0.1;2016-12-14 11:20:37.0;null;null;page14;null;null;0;F09BB657E5CBE0A01B2CA66C9686CEB2;null;null;null;Home Page;null;null;null;DEBUG;http-bio-8080-exec-10;com.webratio.units.content.rtx.db.HierarchicalIndexUnitService:45;null;page14;127.0.0.1,F09BB657E5CBE0A01B2CA66C9686CEB2;LEVEL=hinu1 RESULT_COUNT:15 {oid=[8, 9, 1, 11, 2, 12, 4, 10, 23, 15, 16, 7, 24, 17, 25]};1489232172836;23;Home Page;hinu1;Categories;ent6;att19;CATEGORY;Category;category;CATEGORY;23;CATEGORY;CATEGORY;History
127.0.0.1;2016-12-14 11:20:37.0;null;null;page14;null;null;0;F09BB657E5CBE0A01B2CA66C9686CEB2;null;null;null;Home Page;null;null;null;DEBUG;http-bio-8080-exec-10;com.webratio.units.content.rtx.db.HierarchicalIndexUnitService:45;null;page14;127.0.0.1,F09BB657E5CBE0A01B2CA66C9686CEB2;LEVEL=hinu1 RESULT_COUNT:15 {oid=[8, 9, 1, 11, 2, 12, 4, 10, 23, 15, 16, 7, 24, 17, 25]};1489232172836;10;Home Page;hinu1;Categories;ent6;att19;CATEGORY;Category;category;CATEGORY;10;CATEGORY;CATEGORY;Graphic Design
127.0.0.1;2016-12-14 11:20:37.0;null;null;page14;null;null;0;F09BB657E5CBE0A01B2CA66C9686CEB2;null;null;null;Home Page;null;null;null;DEBUG;http-bio-8080-exec-10;com.webratio.units.content.rtx.db.HierarchicalIndexUnitService:45;null;page14;127.0.0.1,F09BB657E5CBE0A01B2CA66C9686CEB2;LEVEL=hinu1 RESULT_COUNT:15 {oid=[8, 9, 1, 11, 2, 12, 4, 10, 23, 15, 16, 7, 24, 17, 25]};1489232172836;16;Home Page;hinu1;Categories;ent6;att19;CATEGORY;Category;category;CATEGORY;16;CATEGORY;CATEGORY;Mystery & Thrillers
127.0.0.1;2016-12-14 11:20:37.0;null;null;page14;null;null;0;F09BB657E5CBE0A01B2CA66C9686CEB2;null;null;null;Home Page;null;null;null;DEBUG;http-bio-8080-exec-10;com.webratio.units.content.rtx.db.HierarchicalIndexUnitService:45;null;page14;127.0.0.1,F09BB657E5CBE0A01B2CA66C9686CEB2;LEVEL=hinu1 RESULT_COUNT:15 {oid=[8, 9, 1, 11, 2, 12, 4, 10, 23, 15, 16, 7, 24, 17, 25]};1489232172836;9;Home Page;hinu1;Categories;ent6;att19;CATEGORY;Category;category;CATEGORY;9;CATEGORY;CATEGORY;Art
127.0.0.1;2016-12-14 11:20:37.0;null;null;page14;null;null;0;F09BB657E5CBE0A01B2CA66C9686CEB2;null;null;null;Home Page;null;null;null;DEBUG;http-bio-8080-exec-10;com.webratio.units.content.rtx.db.HierarchicalIndexUnitService:45;null;page14;127.0.0.1,F09BB657E5CBE0A01B2CA66C9686CEB2;LEVEL=hinu1 RESULT_COUNT:15 {oid=[8, 9, 1, 11, 2, 12, 4, 10, 23, 15, 16, 7, 24, 17, 25]};1489232172836;15;Home Page;hinu1;Categories;ent6;att19;CATEGORY;Category;category;CATEGORY;15;CATEGORY;CATEGORY;Literature & Fiction
127.0.0.1;2016-12-14 11:20:37.0;null;null;page14;null;null;0;F09BB657E5CBE0A01B2CA66C9686CEB2;null;null;null;Home Page;null;null;null;DEBUG;http-bio-8080-exec-10;com.webratio.units.content.rtx.db.PowerIndexUnitService:45;null;page14;127.0.0.1,F09BB657E5CBE0A01B2CA66C9686CEB2;" RESULT_COUNT:6 {oid=[11, 18, 15, 22, 26, 30]}";1489232172840;26;Home Page;pwu7;Highlighted Books;ent1;att10;BOOK;Book;title;TITLE;26;BOOK;TITLE;"In the Pink: Dorothy Draper: Americas Most Fabulous Decorator "
127.0.0.1;2016-12-14 11:20:37.0;null;null;page14;null;null;0;F09BB657E5CBE0A01B2CA66C9686CEB2;null;null;null;Home Page;null;null;null;DEBUG;http-bio-8080-exec-10;com.webratio.units.content.rtx.db.HierarchicalIndexUnitService:45;null;page14;127.0.0.1,F09BB657E5CBE0A01B2CA66C9686CEB2;LEVEL=hinu1 RESULT_COUNT:15 {oid=[8, 9, 1, 11, 2, 12, 4, 10, 23, 15, 16, 7, 24, 17, 25]};1489232172836;2;Home Page;hinu1;Categories;ent6;att19;CATEGORY;Category;category;CATEGORY;2;CATEGORY;CATEGORY;Business & Technology
127.0.0.1;2016-12-14 11:20:37.0;null;null;page14;null;null;0;F09BB657E5CBE0A01B2CA66C9686CEB2;null;null;null;Home Page;null;null;null;DEBUG;http-bio-8080-exec-10;com.webratio.units.content.rtx.db.HierarchicalIndexUnitService:45;null;page14;127.0.0.1,F09BB657E5CBE0A01B2CA66C9686CEB2;LEVEL=hinu1 RESULT_COUNT:15 {oid=[8, 9, 1, 11, 2, 12, 4, 10, 23, 15, 16, 7, 24, 17, 25]};1489232172836;8;Home Page;hinu1;Categories;ent6;att19;CATEGORY;Category;category;CATEGORY;8;CATEGORY;CATEGORY;"Architecture "
